cell_label,x,y,z,brain_section_label,Drd1,Drd2,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Mc4r,Npy1r,Npy2r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3
2.95974772700897e+38,4.65072260640908,6.10247160338906,3.51708313940824,-1.043,2.199465,0,1.9239576,0.8467657,0,0,0.4846354,2.068278,0,1.1359923,0,0,0,0.4846354,0,0,0.8467657,1.1359923,0,0.4846354,0.8467657,0
3.21583773170935e+38,4.7789188732057,6.18525156404231,3.51708313940824,-1.043,2.3027012,0,2.8860497,0,0,0,0.5769824,0.5769824,0,0,0,0,0,0,0,0,0,0,0,0.5769824,1.307532,0
3.22325568009786e+38,4.75213216261143,6.0778481523189,3.51708313940824,-1.043,0,0,5.0466857,1.6068693,0,0.75014955,0,0,3.5742803,3.0877411,0,0,0,0,0,0,0,0,0,0,1.2411901,0
8.27385428032066e+37,4.71953265369385,6.08994825526062,3.51708313940824,-1.043,1.8027678,0.43888426,2.187627,2.2960494,0.43888426,1.2763312,0,0.43888426,0,0,0,0,0,0,0,0,0.43888426,0.77493346,0,0.77493346,1.6476984,0
9.2202612799088e+37,4.71161155703887,6.21369917404339,3.51708313940824,-1.043,2.2446818,0,2.6186082,0.9522079,0.5532777,1.5208813,0,1.2643846,0.5532777,1.2643846,0,0,0,0,0,0,0,0.5532777,0,0,0,0
9.2799921355338e+37,4.71564880715658,6.17267495814486,3.51708313940824,-1.043,1.3539498,0,2.5029235,0,0,0,0,0,0.60283995,0.60283995,0,0,0,0,0,0,0,0.60283995,0,0,0,0
9.41011169104659e+37,4.87584749735609,6.19758002366476,3.51708313940824,-1.043,2.5734668,0,3.4468865,0,0,0,0,0,0,3.075288,0,0,0,0,0,0,0,2.5734668,0,0,1.7975072,0
2.27850201369438e+38,4.72520601372793,6.07653123397599,3.51708313940824,-1.043,2.7382767,0,0,1.5315232,0,0,0,0.96010727,0,0,0,0,0,0,0,0,1.5315232,0.96010727,0,0,0,0
2.3090884501437e+38,4.64929316717717,6.05742177758717,3.51708313940824,-1.043,2.8875253,0,1.3785117,0,0,0.6166714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6166714,1.6476984,0
2.77969253460285e+38,4.66682095091749,6.06733799770439,3.51708313940824,-1.043,2.716207,0,0,3.36257,0,0,0,0,0,1.5145731,0,0,0,0,0,0,0,0,0,1.5145731,0,0
