cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344200910416,3.77964434395027,8.03438191664406,8.8,6.258,0,10.41,0.4856,1.271,0.4844,0,2.732,0.275,0,1.789,2.494,0.2815,0,0.1927,0,0.6924,1.258,0,8.48,0,2.916,2.21,0.322,6.223,10,4.035,2.9,1.889,9.55,C57BL6J-638850.47
1018093344200910343,3.73801568185554,8.10272224227803,8.8,6.277,0,10.43,0.4812,1.271,0.563,0,2.98,0.326,0,1.925,2.572,0.2224,0,0.2754,0,0.711,1.221,0,8.555,0,3.314,2.494,0.2686,6.32,9.99,4.168,3.973,1.8955,9.59,C57BL6J-638850.47
1018093344100910364-8,3.74376580789315,8.07703376620658,8.8,6.203,0,10.375,0.5093,1.23,0.5386,0,2.879,0.3242,0,1.705,2.549,0.2778,0,0.2754,0,0.7393,1.278,0,8.49,0,3.217,2.459,0.2686,6.113,9.99,3.85,3.113,1.866,9.58,C57BL6J-638850.47
1018093344200910364,3.74964556836606,8.03064908319722,8.8,6.45,0.06024,10.3,0.686,1.174,0.593,0,3.215,0.2131,0.06464,1.751,2.414,0.248,0,0.2478,0,0.852,0.8813,0,8.64,0,3.275,2.426,0.1873,6.535,9.98,4.188,3.572,1.935,9.57,C57BL6J-638850.47
1018093344200910396,3.7658504822902,8.0272429409886,8.8,6.332,0,10.37,0.5376,1.327,0.592,0,3.006,0.2957,0,1.827,2.453,0.191,0,0.3027,0,0.685,1.155,0,8.6,0,3.324,2.072,0.2408,6.367,10.01,4.15,2.764,1.86,9.54,C57BL6J-638850.47
1018093344200910380,3.75666253969721,8.08817969187565,8.8,6.062,0,10.39,0.3687,1.121,0.4983,0,2.182,0.3157,0.05762,1.518,2.379,0.3826,0,0.1652,0,0.6987,1.359,0,8.266,0,3.06,1.766,0.322,5.85,9.82,3.44,2.406,1.978,9.49,C57BL6J-638850.47
1018093344100910294-6,3.6887921858923,8.07255817349881,8.8,6.406,0.03012,10.305,0.609,1.441,0.57,0,3.201,0.2389,0.03232,1.783,2.219,0.2708,0,0.2754,0,0.8784,1.049,0,8.63,0,3.123,2.389,0.2141,6.4,10.016,4.145,3.586,1.793,9.56,C57BL6J-638850.47
1018093344200910367-1,3.75688671473506,8.03572240444494,8.8,6.242,0.06024,10.445,0.4905,0.9897,0.72,0,3.707,0.2482,0.097,1.451,2.117,0.3018,0,0.2478,0,0.8696,0.984,0,8.72,0,3.273,1.819,0.2169,6.164,9.984,4.07,2.621,1.943,9.5,C57BL6J-638850.47
1018093344100910426-5,3.77095074323555,8.09014154280831,8.8,5.477,0.03146,10.24,0.2837,1.443,0.6646,0,1.641,0.6396,0.378,1.403,3.342,0.6973,0,0.0826,0,0.8564,2.053,0,7.81,0.1195,3.34,1.574,0.3567,5.348,9.72,2.27,2.455,2.8,9.38,C57BL6J-638850.47
1018093344100910334-6,3.72220521564818,8.08300373301407,8.8,6.168,0.03012,10.484,0.5527,1.191,0.8027,0,3.332,0.3047,0.06464,1.56,2.832,0.3918,0,0.1927,0,0.9136,0.94,0,8.7,0,3.383,1.721,0.2179,6.33,9.83,3.969,2.553,1.731,9.445,C57BL6J-638850.47
1018093344100910332-8,3.71727328700051,8.10845554234604,8.8,6.31,0,10.28,0.397,1.263,0.4539,0.02922,2.54,0.307,0.0566,1.57,2.336,0.3088,0,0.1927,0,0.69,1.432,0,8.26,0,2.896,2.324,0.3718,5.78,10.02,3.936,3.104,2.06,9.58,C57BL6J-638850.47
1018093344100910312-8,3.70311105871993,8.094179019756,8.8,6.31,0,10.375,0.5654,1.27,0.5425,0,3.072,0.2957,0,1.739,2.256,0.2188,0,0.3027,0,0.7393,1.133,0,8.6,0,3.256,2.53,0.2418,6.188,10.02,4.043,3.557,1.87,9.58,C57BL6J-638850.47
1018093344100910315-7,3.70326723714906,8.06592605587917,8.8,6.293,0,10.375,0.4202,1.107,0.5474,0,2.559,0.3938,0,1.679,2.432,0.259,0,0.2202,0,0.688,1.23,0,8.44,0,3.201,2.535,0.2954,6.22,9.9,3.795,3.436,1.998,9.586,C57BL6J-638850.47
1018093344100910388-7,3.75135616853153,8.08552444781369,8.8,6.31,0,10.336,0.574,1.335,0.5137,0,2.92,0.2417,0.03232,1.679,2.326,0.1941,0,0.2478,0,0.738,1.163,0,8.53,0,3.027,1.785,0.2408,6.17,10.01,3.94,2.447,1.9375,9.47,C57BL6J-638850.47
1018093344100910336-6,3.7237089715907,8.07227900055472,8.8,6.22,0,10.42,0.4856,1.309,0.534,0,2.799,0.3545,0,1.819,2.71,0.3079,0,0.2478,0,0.7456,1.31,0,8.47,0,3.1,2.05,0.2954,6.242,9.99,3.951,2.732,1.713,9.49,C57BL6J-638850.47
1018093344100910318-7,3.70434450585242,8.05691507054467,8.8,6.098,0,10.516,0.397,0.949,0.548,0,2.955,0.3557,0,1.539,2.947,0.3655,0,0.2478,0,0.8477,1.272,0,8.484,0,3.355,2.168,0.3518,6.207,9.87,3.83,3.139,1.6875,9.49,C57BL6J-638850.47
