cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.01715595620243e+18,7.11477249779355,8.06968076056116,9,6.133,0,10.266,0.3728,1.43,0.4316,0.02922,2.318,0.3098,0.0854,1.569,2.373,0.4307,0,0.1377,0,0.7974,1.453,0,8.055,0,2.955,2.182,0.3718,5.79,9.88,3.627,2.793,2.14,9.55,C57BL6J-638850.48
1.01715595610243e+18,7.12957889078969,7.97937818292601,9,6.32,0,10.31,0.542,1.173,0.4546,0,2.86,0.1879,0,1.623,2.422,0.2206,0,0.2754,0,0.688,1.131,0,8.56,0,2.95,2.582,0.2676,6.207,10.03,4.15,3.504,1.935,9.59,C57BL6J-638850.48
1.01715595610243e+18,7.1410540156265,7.95639598073611,9,6.293,0.03012,10.32,0.5767,1.23,0.528,0,2.688,0.1907,0,1.71,2.62,0.2803,0,0.1927,0,0.664,1.17,0,8.516,0,2.842,1.94,0.2676,6.016,10.016,3.998,2.568,1.97,9.51,C57BL6J-638850.48
1.01715595610243e+18,7.13806202702009,7.96402111372444,9,6.24,0,10.414,0.542,0.956,0.6406,0,3.162,0.3794,0,1.458,2.818,0.2433,0,0.3027,0,0.7944,1.226,0,8.58,0,3.525,2.262,0.2428,6.117,9.99,3.854,3.229,1.903,9.52,C57BL6J-638850.48
1.01715595610243e+18,7.16431228585862,7.89986621796467,9,6.1,0,10.37,0.4575,1.257,0.5703,0,2.312,0.1991,0.03506,1.599,2.404,0.2666,0,0.2003,0,0.704,1.083,0,8.29,0,3.203,2.527,0.2686,6.055,9.72,3.625,3.455,1.92,9.59,C57BL6J-638850.48
1.01715595610243e+18,7.13960070231743,7.94781313905941,9,6.28,0,10.375,0.5054,0.999,0.5376,0,3.018,0.3494,0,1.604,2.602,0.1924,0,0.3303,0,0.672,1.239,0,8.57,0,3.418,2.078,0.2418,6.207,10,3.992,3.787,1.956,9.445,C57BL6J-638850.48
1.01715595610243e+18,7.12598356253804,7.93067434818029,9,5.93,0,10.38,0.4019,1.199,0.5195,0,2.754,0.2456,0.0701,1.506,2.459,0.288,0,0.373,0,0.7954,0.9653,0,8.23,0,3.514,2.693,0.216,6.15,9.68,3.77,3.535,1.77,9.6,C57BL6J-638850.48
1.01715595610244e+18,7.28510803103192,7.83084361343946,9,6.33,0,10.38,0.514,1.467,0.542,0,2.857,0.2181,0,1.824,2.451,0.2522,0,0.2478,0,0.6904,1.03,0,8.58,0,3.074,2.564,0.2686,6.246,9.91,4.1,3.277,1.785,9.58,C57BL6J-638850.48
1.01715595610243e+18,7.16237833134825,7.9105478307016,9,6.36,0,10.29,0.4526,1.37,0.5083,0.02922,2.713,0.328,0.02779,1.763,2.33,0.2505,0,0.2202,0,0.6953,1.348,0,8.33,0,3.072,2.203,0.345,6.145,9.984,4.105,2.965,2.016,9.55,C57BL6J-638850.48
1.01715595610243e+18,7.13113480879258,7.96981093041532,9,6.344,0,10.32,0.5464,1.142,0.4634,0,2.717,0.1368,0,1.734,2.396,0.25,0,0.2202,0,0.6963,1.087,0,8.54,0,2.732,2.537,0.2944,6.152,10.04,4.188,3.508,1.863,9.586,C57BL6J-638850.48
