cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344102110252-5,2.24731431267407,7.70870659479634,8.8,7.875,0.1763,8.65,0.509,4.277,1.933,0.34,1.597,0.1731,0.5977,0.4304,0.8564,0.3667,0,0,0.2216,2.598,1.302,0,4.105,0,2.648,6.457,0.5835,2.137,8.12,4.633,0.2106,3.195,2.445,C57BL6J-638850.47
1018093344102120556-5,2.23502218095568,7.67542055400197,8.8,8.11,0.2961,9.19,0.46,5.285,1.754,0.1631,1.587,0.649,0.548,0.3855,1.557,0.4988,0,0,0.3142,1.613,2.113,0,4.41,0.0542,2.82,5.387,0.9595,3.15,8.44,6.84,0.264,4.113,4.523,C57BL6J-638850.47
1018093344102120566-4,2.23140427631393,7.70807610645879,8.8,8.016,0.1344,8.87,0.553,3.432,1.969,0.2683,1.421,0.3745,0.787,0.443,0.586,0.4001,0,0,0.1175,2.482,1.716,0,4.164,0,2.672,6.895,0.564,1.712,8.26,5.67,0.24,3.373,1.197,C57BL6J-638850.47
1018093344102120569-2,2.229537177239,7.73515195721748,8.8,7.73,0.07983,8.414,0.5005,3.26,1.544,0.3325,1.452,0.0949,0.4968,0.4324,0.5747,0.3184,0,0.0329,0.1223,2.504,1.176,0,3.523,0,2.523,5.543,0.1868,1.963,7.895,3.42,0.179,2.93,0.7236,C57BL6J-638850.47
1018093344102120564-3,2.23083524568383,7.71417784097025,8.8,7.992,0.357,9.18,0.4758,5.266,2.146,0.2141,1.418,0.831,0.635,0.7324,1.89,0.3826,0,0.02585,0.11707,1.736,2.56,0.0813,4.27,0.0542,3.328,5.85,1.713,2.986,8.58,7.207,0.1956,4.098,4.28,C57BL6J-638850.47
1018093344102120581-2,2.22759276480125,7.72591385307213,8.8,8.08,0.2524,9.18,0.447,5.113,1.755,0.1567,1.811,0.661,0.7188,0.4329,1.238,0.4497,0,0,0.1753,1.707,2.338,0.02255,4.14,0,2.719,5.164,1.11,2.87,8.39,6.848,0.2754,4.152,4.254,C57BL6J-638850.47
1018093344202110246,2.19110029034488,7.7153234417952,8.8,8.01,0.2307,8.836,0.6494,3.227,2.27,0.2932,1.327,0.347,0.9453,0.4504,0.42,0.4004,0,0,0.166,2.654,1.632,0,4.285,0,2.752,6.676,0.5654,1.705,8.27,5.746,0.1857,3.264,0.9478,C57BL6J-638850.47
1018093344102110263-3,2.23450114192318,7.74256184346243,8.8,7.83,0.1283,8.69,0.573,4.574,1.605,0.2362,1.476,0.1815,0.772,0.3777,1.502,0.276,0,0.0658,0.0915,2.385,1.468,0,3.334,0,2.336,6.027,0.3457,2.008,7.85,4.523,0.161,3.055,3.006,C57BL6J-638850.47
1018093344102110291-3,2.1685153727376,7.71128699688139,8.8,8.03,0.11444,8.76,0.5986,2.994,1.964,0.2932,1.32,0.262,0.7407,0.4282,0.406,0.3984,0,0,0.1705,2.615,1.389,0,4.24,0,2.676,6.453,0.495,1.829,8.23,5.17,0.093,3.133,0.672,C57BL6J-638850.47
1018093344102110249-5,2.2562124387344,7.73569914087262,8.8,8.125,0.2964,9.2,0.4802,4.895,1.922,0.129,1.747,0.652,0.694,0.268,1.287,0.521,0,0.02585,0.1818,1.716,2.488,0,4.215,0.02727,2.795,5.54,0.962,2.896,8.39,7.027,0.304,4.367,4.11,C57BL6J-638850.47
1018093344102120675,2.17065261996879,7.7001591579651,8.8,8.266,0.2893,9.17,0.5166,3.863,2.316,0.4023,1.2,0.447,1.063,0.3828,0.9463,0.4531,0,0,0.2474,2.383,1.765,0.04288,4,0,2.93,6.19,0.965,2.129,8.07,6.598,0.179,3.564,2.143,C57BL6J-638850.47
1018093344102120709-4,2.15759170609028,7.4386318806081,8.8,7.914,1.007,9.07,0.9604,7.145,2.654,0.4656,2.336,0.9497,1.749,0.3503,4.547,1.907,0.02432,0.1652,0.1621,0.99,3.715,0.556,3.256,0.504,2.434,4.324,3.875,3.33,7.863,6.97,0.602,3.734,6.94,C57BL6J-638850.47
1018093344102120645-2,2.19419434580013,7.48787739240818,8.8,7.867,1.059,8.9,1.217,7.09,2.547,0.7603,2.389,0.9043,1.78,0.4194,4.78,2.266,0.04865,0.07587,0.1117,1.1045,4.016,0.9316,3.512,0.5977,2.705,4.37,4.094,4.08,8.09,6.62,0.655,4.207,7.258,C57BL6J-638850.47
1018093344201970366,2.92378111505608,7.67896202836776,8.8,7.77,0.739,8.85,0.971,6.895,2.459,0.1365,2.033,1.48,1.692,0.854,5.93,4.26,0,1.268,0.2876,0.6377,6.33,1.054,1.637,0.9355,1.531,3.947,5.16,4.465,6.523,5.855,0.9565,5.355,8.26,C57BL6J-638850.47
1018093344102120570-2,2.22921559113398,7.64295793818492,8.8,8.2,0.5586,9.36,0.4077,6.746,1.764,0.1302,1.934,0.7446,0.5205,0.397,3.965,0.6675,0.04865,0.02585,0.1516,1.207,3.137,0.2188,4.207,0.1443,3.055,5.445,2.648,3.104,8.7,7.758,0.6616,4.3,7.04,C57BL6J-638850.47
1018093344102120598-3,2.21689266057496,7.55510195818316,8.8,8.055,0.7827,9.18,0.702,7.035,1.672,0.3545,2.033,0.816,0.8066,0.3281,4.066,0.9536,0.04865,0.02611,0.1798,1.127,3.562,0.5024,4.227,0.2715,3.1,5.008,3.352,3.297,8.586,7.273,0.5684,4.207,7.223,C57BL6J-638850.47
1018093344102120633-2,2.1971288420105,7.56207848919048,8.8,8.18,0.692,9.234,0.4775,6.863,1.234,0.2744,2.496,0.84,0.6753,0.4434,4.555,0.745,0.07294,0.05746,0.208,0.895,4.125,0.56,3.713,0.3289,2.973,5.1,2.914,3.076,8.7,7.17,0.7817,4.54,7.793,C57BL6J-638850.47
1018093344102120641-2,2.19744139130584,7.64439966970615,8.8,8.15,0.6465,9.266,0.5615,6.91,1.68,0.2407,2.209,0.8926,0.713,0.3499,4.242,0.786,0.04865,0.0818,0.1742,1.113,3.309,0.39,3.883,0.2382,3.15,5.008,3.096,3.012,8.63,7.355,0.509,4.215,7.13,C57BL6J-638850.47
1018093344102120642-2,2.19353328465514,7.65464273109529,8.8,8.21,0.625,9.37,0.4849,6.945,1.672,0.2018,2.303,0.973,0.6445,0.3499,4.082,0.692,0.04865,0.02611,0.1742,1.124,3.494,0.3562,3.947,0.1766,3.38,5.32,3.078,2.68,8.72,7.45,0.663,4.266,7.21,C57BL6J-638850.47
1018093344101960329-2,2.73348425237835,7.82829280581474,8.8,8.18,0.778,9.234,0.6426,7.145,1.498,0.395,2.434,0.93,0.877,0.395,4.887,0.9883,0.07294,0.05222,0.1742,0.9653,3.943,0.6753,3.793,0.5513,2.914,4.67,3.215,2.934,8.555,6.957,0.6836,4.32,7.74,C57BL6J-638850.47
1018093344202120464,2.27610455295111,7.68417863719959,8.8,7.812,0.3203,9.05,0.358,6.074,1.391,0.1948,2.125,0.8105,0.3323,0.5576,2.258,0.585,0,0.0775,0.2095,1.037,2.541,0.02385,4.332,0.1827,2.893,5.004,0.938,4.152,8.67,6.965,0.5195,4.273,6,C57BL6J-638850.47
1018093344101960311-2,2.74789185069407,7.81006224006045,8.8,8.12,0.794,9.17,0.6484,6.91,1.259,0.3406,2.305,0.7744,0.8545,0.4448,5.242,1.079,0.07294,0.12354,0.1798,1.009,4.05,0.8193,3.871,0.8076,2.793,4.37,3.193,3.094,8.54,6.74,0.89,4.35,7.973,C57BL6J-638850.47
1018093344102120485-6,2.27231021659821,7.70127809078454,8.8,8.055,0.5083,9.27,0.439,6.66,1.762,0.11176,1.932,0.8906,0.395,0.683,3.28,0.4211,0.02432,0.02585,0.1588,1.295,2.797,0.10516,4.363,0.1772,3.31,5.207,1.856,3.34,8.62,7.457,0.6426,4.527,6.945,C57BL6J-638850.47
1018093344102120480-2,2.27222019212131,7.7310711999222,8.8,8.19,0.6655,9.33,0.452,6.77,1.56,0.1787,2.006,0.697,0.4219,0.4905,3.598,0.643,0.04865,0.02795,0.254,1.267,3.178,0.263,4.273,0.09454,3.035,5.285,2.67,3.074,8.66,7.62,0.623,4.184,7.055,C57BL6J-638850.47
1018093344102120611-1,2.20879912013546,7.67801590586038,8.8,8.14,0.6304,9.32,0.385,6.676,1.841,0.1396,1.912,0.6665,0.4087,0.6343,3.137,0.5825,0.02432,0.0538,0.2378,1.102,2.953,0.108,4.18,0.137,2.932,5.387,2.082,3.445,8.6,7.6,0.569,4.12,6.79,C57BL6J-638850.47
1018093344101970392-4,2.91619719562091,7.64343796876841,8.8,8.1,0.728,9.08,0.819,7.01,1.306,0.459,2.154,0.8193,1.135,0.493,5.22,1.672,0.07294,0.0744,0.11316,1.144,3.965,1.12,3.82,0.8726,2.664,4.17,3.705,3.396,8.234,6,0.76,4.41,7.64,C57BL6J-638850.47
1018093344102120587-2,2.22258203561967,7.68571437799044,8.8,8.23,0.2915,9.32,0.527,5.24,2.115,0.2367,1.421,0.4917,0.742,0.4421,1.776,0.525,0,0,0.3354,1.971,1.919,0.04288,4.652,0,2.959,5.746,1.273,2.936,8.42,7.094,0.253,4.008,4.15,C57BL6J-638850.47
1018093344102110264-2,2.23504772202961,7.72387621701638,8.8,8.19,0.3362,9.234,0.4666,4.543,2.264,0.286,1.681,0.796,0.8804,0.2664,1.305,0.526,0,0,0.16,2.023,2.412,0.02255,4.074,0.02129,3,6.465,1.162,2.451,8.36,7.234,0.2827,4.08,3.12,C57BL6J-638850.47
1018093344102120496-4,2.26209548786376,7.70322253124735,8.8,8.1,0.3381,9.26,0.5347,4.543,2.309,0.2737,1.56,0.802,0.9287,0.4858,1.541,0.3892,0,0,0.1818,2.01,2.496,0.0632,3.795,0.02129,2.883,6.215,1.579,2.414,8.39,7.34,0.1951,3.838,3.227,C57BL6J-638850.47
1018093344102120534-4,2.24553422512613,7.72891733031719,8.8,8.13,0.2474,9.23,0.461,5.62,2.012,0.1779,1.623,0.6177,0.5947,0.4656,1.452,0.374,0,0.02585,0.206,1.733,2.07,0,4.363,0.02727,2.91,5.098,0.99,3.262,8.305,6.97,0.2542,4.055,5.254,C57BL6J-638850.47
1018093344102120538-3,2.2429800701088,7.73665211200179,8.8,7.812,0.10486,8.56,0.6167,3.42,2.09,0.3337,1.54,0.1465,0.7827,0.5513,0.507,0.3628,0,0,0.1951,2.912,1.184,0,3.9,0,2.568,6.094,0.3142,1.732,8.06,4.27,0.2218,2.92,0.784,C57BL6J-638850.47
1018093344102120648-3,2.18724271760856,7.72758816859793,8.8,8.195,0.4832,9.27,0.4392,5.395,1.903,0.10284,1.837,0.693,0.7114,0.4058,1.616,0.4263,0,0,0.2374,1.436,2.79,0.0899,4.1,0,2.932,5.54,1.525,2.938,8.51,7.445,0.1996,4.305,4.293,C57BL6J-638850.47
1018093344102120663-4,2.17831892806405,7.68526926513409,8.8,8.13,0.232,9.01,0.6187,3.188,2.438,0.4006,1.21,0.3188,1.11,0.435,0.7656,0.4277,0,0,0.1843,2.76,1.496,0,3.723,0.02129,2.71,6.316,0.5405,1.664,7.98,6.02,0.1179,3.156,1.381,C57BL6J-638850.47
1018093344101960293-3,2.76512919107266,7.86612094273336,8.8,8.23,0.71,9.3,0.488,6.87,1.93,0.2764,2.166,0.8745,0.792,0.3499,4.1,0.782,0.04865,0.05222,0.1742,1.236,3.246,0.3174,3.969,0.1437,3.227,5.25,2.996,2.824,8.65,7.58,0.552,3.982,7.1,C57BL6J-638850.47
