cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.01715595610046e+18,2.33633193256203,8.14800922852205,9.4,8.266,0.3289,8.19,0.3213,6.38,9.375,1.843,4.96,5.973,4.582,1.009,2.188,0.381,0.0248,0.638,0.09814,1.682,3.691,1.491,1.372,0.06836,1.584,3.494,5.184,3.89,3.732,7.05,0.4941,4.586,8.06,C57BL6J-638850.50
1.01715595610045e+18,1.99978264119292,7.77734333801143,9.4,7.742,1.12,7.363,1.289,5.668,8.76,0.723,4.785,6.05,4.414,0.4067,1.946,2.361,0.02432,0.1353,0.3623,0.9272,3.697,0.5146,3.035,0.4136,2.26,3.883,4.17,4.28,3.527,6.555,0.945,3.508,7.777,C57BL6J-638850.50
1.01715595610045e+18,2.09379872141589,8.06579593322589,9.4,8.2,0.3147,7.137,0.3442,6.23,9.195,1.814,5.277,6.652,4.496,0.9404,1.902,0.3113,0.0248,0.5605,0.1029,1.828,3.406,1.509,1.159,0.08716,1.334,3.58,5.18,4.3,3.04,6.86,0.502,4.63,8.234,C57BL6J-638850.50
1.01715595610046e+18,2.32411106617493,8.14539945568166,9.4,8.19,0.297,7.734,0.3704,6.44,9.195,1.707,5.023,6.562,4.59,1.132,1.795,0.3333,0.0248,0.649,0.0902,1.676,3.523,1.4375,0.9897,0.08716,1.431,3.498,5.164,4.324,3.38,6.914,0.552,4.758,8.125,C57BL6J-638850.50
1.01715595610027e+18,2.76403889534495,8.42124950320454,9.4,7.82,0.9595,9.516,1.001,7.723,9.266,0.7544,4.98,4.832,3.506,0.5005,3.875,2.025,0.02432,0.1976,0.2407,1.034,3.469,0.7104,2.908,0.2668,2.395,3.36,3.99,1.691,3.44,6.207,0.765,3.545,7.785,C57BL6J-638850.50
1.01715595610048e+18,3.48735580678362,8.26061666216215,9.4,7.027,0.3486,4.168,0.3718,5.207,8,1.807,4.945,7.926,3.418,0.8955,1.3125,0.3206,0.00421,0.7446,0.0858,1.944,2.607,0.8433,0.74,0.5664,0.6553,1.894,4.684,5.695,1.121,4.91,0.6113,5.2,7.71,C57BL6J-638850.50
1.01715595610045e+18,2.00520343243054,7.7413925616534,9.4,8.14,0.793,9.72,0.8535,5.684,9.164,0.2947,4.516,4.766,4.812,0.334,2.377,1.647,0.02432,0.10614,0.1672,1.09,3.592,0.4612,3.318,0.1321,2.803,4.355,3.69,3.258,5.055,6.926,0.509,3.723,7.453,C57BL6J-638850.50
1.01715595610045e+18,2.07723004088481,8.09282968989181,9.4,8.17,0.3,7.918,0.501,5.78,9.195,1.406,4.86,6.207,4.61,0.9097,1.867,0.4817,0.02339,0.7427,0.0731,1.866,4.06,0.9883,1.219,0.08264,1.149,3.367,5.35,4.227,3.379,7.3,0.4346,4.566,7.883,C57BL6J-638850.50
,2.37860430073427,8.28682777268902,9.4,8.45,0.222,9.25,0.2091,8,9.29,0.8076,5.32,5.242,3.852,0.7827,4.1,0.1932,0,0.2253,0.05676,1.594,4.28,1.967,2.092,0.02777,2.143,3.56,3.984,1.84,3.285,6.465,0.2935,3.367,8.25,C57BL6J-638850.50
1.01715595610045e+18,1.93897039298798,7.78553538788105,9.4,8.164,0.8145,9.78,0.814,6.938,9.19,0.3762,5.02,4.703,4.625,0.2494,3.01,1.357,0.02432,0.1056,0.1388,1.166,3.297,0.4275,3.686,0.2605,2.896,4.023,3.572,2.771,4.926,7.07,0.558,3.646,7.984,C57BL6J-638850.50
1.01715595610027e+18,2.74280205133151,8.47255457718197,9.4,7.516,1.431,8.42,1.546,7.598,8.95,0.8057,4.71,6.13,3.043,0.3186,3.924,3.162,0.02432,0.1558,0.057,0.9287,4.254,0.753,2.855,0.3513,2.143,2.45,4.83,1.978,2.78,6.484,1.258,3.898,7.938,C57BL6J-638850.50
1.01715595610277e+18,2.63874209128852,8.20762271466141,9.6,8.05,0.5737,9.586,0.773,7.676,9.41,0.345,4.836,5.223,3.164,0.459,4.18,1.948,0.02432,0.2922,0.2416,1.068,3.506,0.541,2.514,0.3052,1.984,3.217,3.51,1.825,3.25,5.848,0.611,3.746,7.746,C57BL6J-638850.51
1.01812210910278e+18,1.97547772207042,7.78624429175804,9.6,7.824,1.082,9.36,1.214,5.754,8.82,0.9883,4.027,4.76,4.645,0.4253,2.26,2.217,0.04636,0.1765,0.0949,1.123,3.78,0.9077,3.059,0.279,2.281,4.074,4.633,3.695,4.902,6.78,1.023,3.648,7.465,C57BL6J-638850.51
1.0181221091024e+18,3.34868305436256,8.10872288203193,9.6,7.613,1.581,8.805,1.224,3.127,8.055,1.248,4.195,5.184,4.3,0.897,2.363,0.4097,0.00972,0.7275,0.0887,2.145,4.254,0.2119,1.344,0.001629,1.34,4.59,5.56,2.36,4.65,7.58,0.598,3.62,4.67,C57BL6J-638850.51
1.01812210920276e+18,2.73262449413368,8.3192744136948,9.6,8.18,0.3445,7.7,0.4038,5.867,9.32,1.759,4.938,6.387,4.69,0.9023,1.809,0.4133,0.00277,0.729,0.1029,1.909,3.705,1.1,1.002,0.0751,1.273,3.63,5.492,4.324,3.352,7.156,0.3965,4.754,7.984,C57BL6J-638850.51
1.01812210920258e+18,2.97352240024807,8.26050943919576,9.6,7.777,0.6475,9.64,0.7744,7.707,9.445,0.2537,5.01,5.21,2.725,0.593,4.207,3.02,0.02432,0.5503,0.1704,0.9185,3.676,0.5293,1.942,0.518,1.404,3.238,3.975,1.172,3.107,5.617,0.78,3.766,7.645,C57BL6J-638850.51
